country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Benin,BJ,BEN,204,Egg and/or flesh foods consumption (6-23months),2021,47.1,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bhutan,BT,BTN,64,Egg and/or flesh foods consumption (6-23months),2015,30.5,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bhutan,BT,BTN,64,Egg and/or flesh foods consumption (6-23months),2015,20.0,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bhutan,BT,BTN,64,Egg and/or flesh foods consumption (6-23months),2015,25.2,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bolivia,BO,BOL,68,Egg and/or flesh foods consumption (6-23months),2008,81.1,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bolivia,BO,BOL,68,Egg and/or flesh foods consumption (6-23months),2016,88.3,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bolivia,BO,BOL,68,Egg and/or flesh foods consumption (6-23months),2008,80.5,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bolivia,BO,BOL,68,Egg and/or flesh foods consumption (6-23months),2016,83.0,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bolivia,BO,BOL,68,Egg and/or flesh foods consumption (6-23months),2008,80.8,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bolivia,BO,BOL,68,Egg and/or flesh foods consumption (6-23months),2016,85.6,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Burkina Faso,BF,BFA,854,Egg and/or flesh foods consumption (6-23months),2010,23.2,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Burkina Faso,BF,BFA,854,Egg and/or flesh foods consumption (6-23months),2019,28.5,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
